               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.028669,            0.026632,           0.0023365,             0.89231,               0.956,              0.9815,             0.64823,            0.025473,            0.017941,           0.0016682,           0.0070795,           0.0070795,           0.0070795
                  61,            0.028185,             0.02644,           0.0021958,             0.88402,             0.96179,             0.96108,             0.67691,            0.022318,            0.018387,           0.0017288,             0.00703,             0.00703,             0.00703
                  62,            0.028142,            0.027942,           0.0020218,             0.90087,             0.96856,             0.98402,             0.66663,            0.024212,            0.018299,           0.0017051,           0.0069805,           0.0069805,           0.0069805
                  63,            0.028393,             0.02505,           0.0021983,             0.92452,             0.96247,              0.9846,             0.66854,            0.022632,            0.017341,           0.0016711,            0.006931,            0.006931,            0.006931
                  64,            0.027668,            0.028935,           0.0022138,             0.92731,             0.95063,             0.98462,             0.65808,            0.023938,            0.017156,           0.0016603,           0.0068815,           0.0068815,           0.0068815
                  65,            0.028403,            0.028324,           0.0020996,             0.93729,             0.96107,              0.9851,             0.69732,            0.021574,            0.017351,           0.0016848,            0.006832,            0.006832,            0.006832
                  66,            0.027297,            0.025458,           0.0023398,             0.94416,             0.96898,             0.98551,              0.6789,            0.022588,            0.017308,            0.001647,           0.0067825,           0.0067825,           0.0067825
                  67,             0.02727,            0.025732,           0.0021632,             0.94177,             0.96807,             0.98608,             0.68556,            0.023124,            0.017861,           0.0016156,            0.006733,            0.006733,            0.006733
                  68,            0.027453,            0.026412,           0.0020339,             0.94527,             0.97719,             0.98705,              0.6776,            0.024317,            0.017372,            0.001568,           0.0066835,           0.0066835,           0.0066835
                  69,            0.028215,            0.024085,            0.002214,             0.94784,             0.98281,             0.98391,             0.65864,             0.02351,            0.017154,           0.0015438,            0.006634,            0.006634,            0.006634
                  70,            0.027425,             0.02535,           0.0018628,             0.95449,             0.97241,             0.98459,             0.67075,            0.023201,            0.016834,           0.0014987,           0.0065845,           0.0065845,           0.0065845
                  71,            0.027721,            0.024448,           0.0018082,              0.9421,             0.97379,             0.98541,             0.69295,            0.022434,             0.01661,           0.0015872,            0.006535,            0.006535,            0.006535
                  72,            0.027358,            0.025544,           0.0019634,             0.94105,             0.96611,             0.98692,             0.66661,            0.024074,            0.016852,           0.0015919,           0.0064855,           0.0064855,           0.0064855
                  73,            0.027091,            0.025703,           0.0019174,             0.94569,             0.96719,              0.9868,             0.71415,            0.020673,            0.016811,           0.0015729,            0.006436,            0.006436,            0.006436
                  74,            0.026503,            0.026831,           0.0019454,             0.93655,             0.95444,             0.98552,             0.69117,            0.022077,            0.016272,           0.0014725,           0.0063865,           0.0063865,           0.0063865
                  75,            0.027029,            0.024044,           0.0019211,             0.91633,             0.95004,                0.97,             0.64367,            0.022669,            0.016561,           0.0014166,            0.006337,            0.006337,            0.006337
                  76,            0.025897,            0.025619,            0.001727,             0.95621,             0.96773,             0.98836,             0.70853,            0.019657,              0.0165,           0.0013883,           0.0062875,           0.0062875,           0.0062875
                  77,            0.026435,            0.023239,           0.0019834,             0.93385,             0.95767,             0.98877,             0.67487,            0.024221,            0.016607,           0.0013842,            0.006238,            0.006238,            0.006238
                  78,            0.026582,            0.024895,           0.0018357,             0.95679,             0.97239,             0.98848,             0.71395,            0.019703,            0.016081,           0.0014395,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024867,            0.024424,           0.0018957,             0.95219,             0.98693,             0.98892,             0.70829,            0.020882,            0.016291,            0.001417,            0.006139,            0.006139,            0.006139
                  80,            0.024439,            0.024062,           0.0019123,             0.95801,             0.98309,             0.98965,             0.71901,            0.020018,            0.016195,           0.0014606,           0.0060895,           0.0060895,           0.0060895
                  81,            0.025253,              0.0226,           0.0019739,             0.94141,             0.97066,             0.98995,             0.71834,             0.02033,            0.016336,           0.0014881,             0.00604,             0.00604,             0.00604
                  82,            0.025346,            0.025611,           0.0019185,             0.92768,             0.97179,              0.9909,             0.73333,            0.018835,            0.015903,           0.0014787,           0.0059905,           0.0059905,           0.0059905
                  83,            0.025391,            0.023646,           0.0017599,             0.94537,             0.96809,             0.99229,             0.72824,            0.018879,            0.015869,           0.0013917,            0.005941,            0.005941,            0.005941
                  84,            0.024072,            0.024771,           0.0016514,             0.94294,             0.96898,              0.9907,             0.70763,            0.019632,            0.015869,           0.0013548,           0.0058915,           0.0058915,           0.0058915
                  85,            0.024666,            0.024698,           0.0017499,             0.88946,             0.97924,             0.97139,             0.72182,            0.018635,            0.015756,           0.0013298,            0.005842,            0.005842,            0.005842
                  86,            0.025154,            0.024208,           0.0021404,             0.96312,             0.97155,             0.99041,             0.70782,             0.02115,            0.015265,           0.0012764,           0.0057925,           0.0057925,           0.0057925
