               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.037761,            0.030669,           0.0047561,             0.70179,             0.85353,              0.7623,             0.38305,            0.035471,            0.022896,           0.0033533,            0.007525,            0.007525,            0.007525
                  52,             0.03819,            0.032644,           0.0042579,             0.73648,             0.87409,             0.86371,             0.51042,            0.033811,            0.022724,           0.0034145,           0.0074755,           0.0074755,           0.0074755
                  53,            0.038304,            0.032629,           0.0042323,             0.80051,             0.80527,              0.8446,             0.44614,            0.032252,            0.022944,            0.003289,            0.007426,            0.007426,            0.007426
                  54,            0.036911,            0.031443,           0.0042402,             0.80882,             0.82865,             0.87368,              0.4935,            0.033571,            0.023184,           0.0032072,           0.0073765,           0.0073765,           0.0073765
                  55,            0.036966,            0.030535,           0.0043833,             0.77312,             0.88986,             0.86433,             0.49392,             0.03106,            0.022288,           0.0032164,            0.007327,            0.007327,            0.007327
                  56,            0.036697,            0.032342,            0.004438,             0.76645,             0.85197,             0.87413,             0.50275,            0.032535,            0.022584,           0.0032143,           0.0072775,           0.0072775,           0.0072775
                  57,            0.037919,            0.030424,           0.0041467,             0.87157,             0.86876,             0.91221,             0.48559,            0.030503,            0.022458,           0.0031591,            0.007228,            0.007228,            0.007228
                  58,            0.036905,            0.031045,           0.0042138,             0.77406,             0.89376,             0.85033,             0.51195,            0.030042,            0.022324,           0.0030077,           0.0071785,           0.0071785,           0.0071785
                  59,            0.036893,            0.030593,           0.0037827,             0.80149,             0.83334,             0.86016,             0.48726,            0.031891,             0.02278,           0.0029719,            0.007129,            0.007129,            0.007129
                  60,            0.035279,            0.032176,           0.0040673,             0.69746,             0.85775,             0.82514,             0.46507,            0.032557,            0.022737,           0.0028952,           0.0070795,           0.0070795,           0.0070795
                  61,            0.036309,            0.031271,           0.0041595,             0.87183,             0.85161,             0.90741,             0.51905,            0.031573,            0.022226,            0.002882,             0.00703,             0.00703,             0.00703
                  62,            0.035809,            0.028611,           0.0037707,             0.80821,             0.91669,              0.9226,             0.48198,            0.030355,            0.022053,           0.0029118,           0.0069805,           0.0069805,           0.0069805
                  63,            0.034987,            0.031002,            0.003787,             0.84685,             0.92922,             0.93728,             0.53952,            0.028298,            0.021347,           0.0029263,            0.006931,            0.006931,            0.006931
                  64,            0.036036,            0.030459,           0.0041317,             0.85861,              0.8831,             0.92115,             0.49903,            0.032145,            0.021961,           0.0029259,           0.0068815,           0.0068815,           0.0068815
                  65,            0.034472,            0.028673,           0.0036829,             0.89958,             0.92673,              0.9507,              0.5356,              0.0302,            0.021417,           0.0027803,            0.006832,            0.006832,            0.006832
                  66,              0.0349,            0.031562,           0.0036799,             0.90657,             0.86301,             0.91672,             0.50544,            0.034268,            0.021436,           0.0026845,           0.0067825,           0.0067825,           0.0067825
                  67,             0.03553,            0.029418,             0.00363,             0.92307,             0.92246,             0.94216,             0.55631,            0.027398,            0.020879,           0.0026589,            0.006733,            0.006733,            0.006733
                  68,            0.034196,             0.03143,           0.0036329,             0.83671,             0.88124,             0.88437,              0.5284,            0.030809,            0.020871,           0.0025632,           0.0066835,           0.0066835,           0.0066835
                  69,            0.033944,            0.030013,           0.0035291,             0.88044,             0.94804,              0.9528,              0.5363,            0.030627,            0.020693,           0.0025017,            0.006634,            0.006634,            0.006634
                  70,            0.035828,            0.030081,           0.0036548,             0.81582,             0.94448,             0.90827,              0.5596,            0.027788,            0.020096,           0.0025284,           0.0065845,           0.0065845,           0.0065845
                  71,             0.03566,            0.030178,            0.003591,             0.90536,             0.93223,             0.95221,             0.57616,            0.028176,            0.021008,           0.0025797,            0.006535,            0.006535,            0.006535
                  72,            0.034182,            0.031931,           0.0034217,             0.84695,             0.91828,             0.93942,             0.58057,            0.027705,            0.020757,           0.0025909,           0.0064855,           0.0064855,           0.0064855
                  73,            0.033646,            0.027683,           0.0035488,             0.87486,             0.93732,             0.94365,             0.55726,            0.027741,            0.020166,           0.0025798,            0.006436,            0.006436,            0.006436
                  74,            0.033528,            0.029563,           0.0034312,             0.83735,             0.89021,             0.92213,             0.55914,            0.027289,            0.020021,           0.0025918,           0.0063865,           0.0063865,           0.0063865
                  75,            0.033737,            0.029831,           0.0039685,             0.89382,             0.92646,             0.94881,             0.55917,            0.026306,            0.019766,           0.0025368,            0.006337,            0.006337,            0.006337
                  76,            0.032828,            0.030172,           0.0033389,             0.87361,             0.92267,             0.94395,             0.55842,            0.029622,            0.020276,            0.002453,           0.0062875,           0.0062875,           0.0062875
                  77,            0.033753,            0.027837,           0.0038611,             0.89551,             0.92966,             0.95027,             0.60582,            0.025797,            0.019433,           0.0025407,            0.006238,            0.006238,            0.006238
                  78,            0.031457,            0.028025,            0.003312,              0.8882,             0.89508,             0.93833,             0.56647,            0.029455,            0.020173,           0.0025081,           0.0061885,           0.0061885,           0.0061885
                  79,            0.033468,            0.029369,           0.0033917,             0.90653,             0.90468,             0.94183,             0.57889,            0.025383,            0.019278,           0.0024863,            0.006139,            0.006139,            0.006139
                  80,            0.032118,            0.028943,            0.003566,             0.87876,             0.92254,             0.93099,             0.58282,            0.029002,            0.020297,           0.0024932,           0.0060895,           0.0060895,           0.0060895
                  81,            0.031997,            0.028031,           0.0035519,             0.90812,             0.92632,             0.95904,             0.60625,            0.025698,            0.019288,           0.0024633,             0.00604,             0.00604,             0.00604
                  82,            0.032123,            0.028731,           0.0034025,             0.89945,              0.9337,             0.95865,             0.59769,            0.027648,            0.019468,           0.0024055,           0.0059905,           0.0059905,           0.0059905
                  83,            0.032498,            0.028253,           0.0033183,             0.88437,             0.91491,             0.93883,             0.59262,            0.025628,            0.019049,           0.0023809,            0.005941,            0.005941,            0.005941
                  84,             0.03224,            0.027074,           0.0029928,             0.89296,             0.94541,              0.9592,             0.60892,            0.027474,            0.019688,           0.0023536,           0.0058915,           0.0058915,           0.0058915
                  85,            0.032356,            0.029761,           0.0031069,             0.92705,             0.93428,             0.96252,             0.59214,            0.024492,            0.018595,           0.0022849,            0.005842,            0.005842,            0.005842
                  86,             0.03132,            0.026586,           0.0029728,             0.88282,             0.94531,             0.94583,             0.59675,             0.02772,            0.019109,           0.0022679,           0.0057925,           0.0057925,           0.0057925
                  87,            0.030244,            0.026305,           0.0032051,             0.89258,             0.91657,             0.94083,             0.58722,            0.025388,            0.018841,           0.0022253,            0.005743,            0.005743,            0.005743
                  88,            0.030769,            0.026811,           0.0031746,             0.91186,             0.92152,             0.95214,             0.60175,            0.025237,            0.019252,           0.0022307,           0.0056935,           0.0056935,           0.0056935
                  89,            0.030393,             0.02733,           0.0029044,             0.92778,             0.94788,             0.96778,             0.62925,            0.024667,            0.018724,           0.0021823,            0.005644,            0.005644,            0.005644
                  90,            0.030495,            0.028733,           0.0029262,             0.89404,             0.94679,             0.95063,             0.60566,             0.02762,            0.019185,           0.0021385,           0.0055945,           0.0055945,           0.0055945
                  91,            0.030798,            0.026041,           0.0029015,             0.95454,             0.96277,             0.98071,             0.61966,            0.025367,            0.018415,           0.0021388,            0.005545,            0.005545,            0.005545
                  92,            0.030536,            0.027666,           0.0028479,             0.94395,             0.95305,             0.97264,             0.63287,            0.024183,            0.018134,           0.0021808,           0.0054955,           0.0054955,           0.0054955
                  93,            0.028979,            0.026664,           0.0029402,             0.93696,             0.96921,             0.96934,             0.63006,            0.025392,            0.018249,           0.0021667,            0.005446,            0.005446,            0.005446
                  94,            0.029952,            0.026617,           0.0029693,             0.95985,             0.95598,             0.97909,             0.65085,            0.025667,            0.018725,           0.0021474,           0.0053965,           0.0053965,           0.0053965
                  95,            0.030045,            0.027068,           0.0028603,             0.94865,             0.95769,             0.97942,             0.65129,            0.022835,             0.01824,            0.002097,            0.005347,            0.005347,            0.005347
                  96,            0.029614,             0.02589,           0.0027871,             0.93446,             0.96207,              0.9715,             0.64964,            0.024174,            0.018355,           0.0020054,           0.0052975,           0.0052975,           0.0052975
                  97,            0.030397,            0.027638,           0.0026876,             0.95073,             0.95847,             0.97453,             0.63208,            0.024115,            0.017944,           0.0019679,            0.005248,            0.005248,            0.005248
                  98,            0.029353,            0.026982,           0.0028926,             0.94488,             0.96246,             0.97386,              0.6715,              0.0231,            0.017565,           0.0019858,           0.0051985,           0.0051985,           0.0051985
                  99,            0.029245,             0.02692,           0.0029612,             0.95576,             0.97185,             0.97827,             0.66364,            0.023688,            0.017494,           0.0019251,            0.005149,            0.005149,            0.005149
                 100,            0.029438,            0.027047,           0.0028144,             0.95536,             0.96834,             0.97091,             0.66948,            0.023297,            0.017528,           0.0019249,           0.0050995,           0.0050995,           0.0050995
                 101,            0.028042,            0.026062,           0.0028851,             0.92252,             0.96065,             0.97025,             0.63249,            0.025398,            0.018007,           0.0019389,             0.00505,             0.00505,             0.00505
                 102,            0.029306,            0.027123,           0.0031612,              0.9501,             0.96168,              0.9765,             0.65975,            0.023895,            0.017756,           0.0019741,           0.0050005,           0.0050005,           0.0050005
                 103,            0.029323,            0.025799,           0.0028442,             0.93814,             0.94799,             0.97351,             0.65086,            0.023405,            0.017312,           0.0019557,            0.004951,            0.004951,            0.004951
                 104,            0.028045,            0.025237,            0.002642,             0.93766,             0.94803,             0.97306,             0.64907,            0.023408,            0.017424,           0.0019102,           0.0049015,           0.0049015,           0.0049015
                 105,            0.029101,            0.025603,           0.0026763,              0.9486,             0.94714,             0.97012,               0.667,             0.02158,            0.017377,           0.0019107,            0.004852,            0.004852,            0.004852
                 106,            0.028498,            0.024913,           0.0027827,             0.95583,             0.95002,             0.97459,             0.66565,             0.02279,            0.017153,           0.0019324,           0.0048025,           0.0048025,           0.0048025
                 107,            0.026723,             0.02438,           0.0024474,             0.95873,             0.96579,             0.97158,             0.66709,            0.021464,            0.016669,            0.001944,            0.004753,            0.004753,            0.004753
                 108,            0.027473,            0.024127,           0.0027309,             0.97573,             0.93968,             0.98228,             0.61765,            0.024055,              0.0169,           0.0018581,           0.0047035,           0.0047035,           0.0047035
                 109,            0.028461,            0.027167,           0.0027239,             0.96741,             0.96281,             0.98261,             0.66493,             0.02174,              0.0165,           0.0018393,            0.004654,            0.004654,            0.004654
                 110,            0.027747,            0.025323,           0.0025704,              0.9511,             0.95833,             0.97413,             0.65792,            0.023341,            0.016967,           0.0018164,           0.0046045,           0.0046045,           0.0046045
                 111,            0.028026,            0.025639,            0.002621,             0.96199,             0.96059,             0.97951,             0.65754,            0.021977,            0.016648,            0.001797,            0.004555,            0.004555,            0.004555
                 112,            0.026912,            0.026038,           0.0024924,             0.97645,             0.96896,             0.98759,             0.66336,            0.022555,            0.016953,            0.001819,           0.0045055,           0.0045055,           0.0045055
                 113,            0.026686,            0.025354,           0.0024267,             0.96013,             0.95611,             0.97876,             0.69102,            0.021196,            0.016788,           0.0018425,            0.004456,            0.004456,            0.004456
                 114,            0.026455,            0.025196,           0.0026465,             0.93544,             0.95779,             0.97528,             0.64534,            0.022896,            0.017275,           0.0018983,           0.0044065,           0.0044065,           0.0044065
                 115,             0.02792,             0.02661,           0.0026597,             0.95083,             0.96912,             0.98144,             0.66306,            0.022311,            0.016934,           0.0018589,            0.004357,            0.004357,            0.004357
                 116,            0.026933,             0.02525,           0.0024548,             0.95802,             0.93895,             0.97908,             0.66841,            0.022626,            0.016835,           0.0018237,           0.0043075,           0.0043075,           0.0043075
                 117,            0.026717,            0.025637,           0.0026556,             0.96473,             0.95704,             0.98396,             0.68513,            0.020246,            0.016151,           0.0017879,            0.004258,            0.004258,            0.004258
                 118,            0.025813,            0.024235,           0.0024197,             0.97457,             0.96583,             0.98186,             0.66283,            0.022792,            0.016509,            0.001747,           0.0042085,           0.0042085,           0.0042085
                 119,            0.026815,            0.025036,           0.0026243,             0.97251,             0.96585,             0.97581,             0.65166,            0.021846,            0.016247,           0.0017156,            0.004159,            0.004159,            0.004159
                 120,            0.026506,            0.023198,            0.002568,             0.96356,             0.96115,             0.98431,             0.67505,            0.021461,            0.016117,           0.0017023,           0.0041095,           0.0041095,           0.0041095
                 121,            0.026262,            0.024664,           0.0024303,             0.98183,             0.97031,              0.9881,             0.67372,             0.02066,            0.015986,           0.0017619,             0.00406,             0.00406,             0.00406
                 122,            0.026311,            0.024709,           0.0024079,             0.98464,             0.97233,             0.99135,             0.69449,            0.020757,            0.015968,           0.0017432,           0.0040105,           0.0040105,           0.0040105
                 123,            0.025729,            0.023574,           0.0023071,             0.98044,             0.96823,             0.99157,             0.67306,            0.023289,            0.016708,           0.0017806,            0.003961,            0.003961,            0.003961
                 124,            0.025465,            0.024265,           0.0024505,             0.97818,             0.95673,             0.98466,             0.68615,            0.020675,            0.016207,           0.0017415,           0.0039115,           0.0039115,           0.0039115
                 125,            0.025238,            0.024708,           0.0022448,             0.96967,             0.97105,             0.98726,              0.6935,            0.019877,             0.01578,            0.001712,            0.003862,            0.003862,            0.003862
                 126,            0.026025,            0.024042,           0.0023808,             0.95746,              0.9708,             0.98712,             0.70814,            0.020378,            0.015923,           0.0016989,           0.0038125,           0.0038125,           0.0038125
                 127,            0.026489,            0.024355,           0.0022744,             0.96362,             0.96509,             0.98162,             0.69607,            0.021079,            0.016061,           0.0016516,            0.003763,            0.003763,            0.003763
                 128,            0.025263,             0.02607,           0.0023736,              0.9417,             0.97896,             0.97613,             0.70689,            0.020274,            0.016019,           0.0016334,           0.0037135,           0.0037135,           0.0037135
                 129,             0.02476,             0.02383,           0.0022977,             0.96394,             0.97701,             0.98991,              0.7046,            0.019141,            0.015289,           0.0016296,            0.003664,            0.003664,            0.003664
                 130,             0.02511,            0.025049,            0.002258,             0.96022,             0.98836,             0.98804,             0.70862,            0.020689,            0.016001,           0.0016776,           0.0036145,           0.0036145,           0.0036145
                 131,            0.025476,            0.024219,           0.0023737,             0.96232,              0.9668,              0.9846,             0.70049,             0.02112,            0.016003,           0.0016429,            0.003565,            0.003565,            0.003565
                 132,            0.024982,            0.023735,           0.0021532,             0.97166,              0.9645,             0.98207,             0.71167,            0.020015,            0.015508,            0.001569,           0.0035155,           0.0035155,           0.0035155
                 133,            0.025042,            0.023996,           0.0022116,             0.97402,             0.96525,             0.98339,             0.69147,            0.019367,            0.015252,           0.0015721,            0.003466,            0.003466,            0.003466
                 134,            0.024561,            0.024731,           0.0022818,             0.97831,             0.97305,             0.98412,             0.69325,            0.019901,            0.015093,           0.0015548,           0.0034165,           0.0034165,           0.0034165
                 135,            0.023964,            0.024547,           0.0023624,              0.9845,             0.97857,             0.98939,             0.72029,            0.018921,            0.014909,           0.0015467,            0.003367,            0.003367,            0.003367
                 136,            0.024109,            0.023555,            0.002149,             0.98604,             0.98125,             0.98906,             0.71535,             0.01928,            0.015018,           0.0015583,           0.0033175,           0.0033175,           0.0033175
                 137,            0.024051,            0.023888,           0.0020195,             0.99384,             0.97056,             0.98851,             0.72906,            0.018772,            0.014871,           0.0015425,            0.003268,            0.003268,            0.003268
                 138,            0.024761,            0.023195,           0.0023613,             0.98378,             0.96693,             0.98775,             0.72291,            0.019299,            0.015009,           0.0015144,           0.0032185,           0.0032185,           0.0032185
                 139,             0.02403,            0.023115,           0.0022571,             0.97416,             0.97053,             0.98723,             0.72659,            0.018735,            0.014828,            0.001507,            0.003169,            0.003169,            0.003169
                 140,             0.02428,            0.023884,           0.0023871,             0.96408,             0.98952,             0.98756,              0.7226,            0.018741,            0.014813,           0.0014575,           0.0031195,           0.0031195,           0.0031195
                 141,              0.0233,            0.022596,           0.0020351,             0.97156,             0.98435,              0.9879,             0.71048,            0.019541,            0.015093,           0.0014479,             0.00307,             0.00307,             0.00307
                 142,            0.023852,            0.022935,           0.0019775,             0.97924,             0.97772,             0.98913,             0.71641,            0.018411,            0.014819,           0.0014537,           0.0030205,           0.0030205,           0.0030205
                 143,            0.023176,            0.022775,           0.0019946,             0.98602,             0.97079,             0.98816,             0.71251,            0.019414,            0.014928,           0.0014982,            0.002971,            0.002971,            0.002971
                 144,            0.023631,              0.0243,           0.0021222,             0.99289,             0.97347,             0.98767,             0.72686,            0.018198,            0.014603,           0.0014891,           0.0029215,           0.0029215,           0.0029215
                 145,             0.02285,            0.022936,           0.0019122,             0.98293,              0.9782,             0.98827,             0.71578,            0.018783,            0.014596,           0.0014646,            0.002872,            0.002872,            0.002872
                 146,            0.023353,            0.022186,           0.0019559,             0.98965,             0.97454,             0.98833,             0.72284,            0.018378,            0.014464,           0.0014581,           0.0028225,           0.0028225,           0.0028225
                 147,            0.023219,            0.021207,            0.001975,             0.99221,             0.97688,             0.98821,             0.72117,            0.018451,            0.014449,           0.0014377,            0.002773,            0.002773,            0.002773
                 148,            0.022985,             0.02227,           0.0020252,             0.99391,             0.97708,             0.99214,             0.72156,            0.018196,            0.014546,           0.0014037,           0.0027235,           0.0027235,           0.0027235
                 149,            0.022888,            0.022837,           0.0019481,             0.98688,             0.97468,             0.98851,             0.71546,            0.018747,            0.014867,           0.0013962,            0.002674,            0.002674,            0.002674
                 150,            0.023058,            0.023288,           0.0019612,             0.98842,             0.97438,             0.98906,             0.72359,            0.017941,            0.014692,           0.0013878,           0.0026245,           0.0026245,           0.0026245
                 151,            0.023067,            0.023388,           0.0021443,             0.98982,             0.98033,             0.98944,             0.74149,            0.017911,            0.014653,           0.0013817,            0.002575,            0.002575,            0.002575
                 152,            0.023285,            0.022808,           0.0019946,              0.9911,             0.98111,             0.98913,             0.73045,            0.018014,            0.014495,           0.0013748,           0.0025255,           0.0025255,           0.0025255
                 153,            0.023536,            0.022661,           0.0020037,             0.99153,             0.98056,             0.98934,             0.74095,            0.017525,            0.014304,           0.0013553,            0.002476,            0.002476,            0.002476
                 154,            0.022785,            0.023791,            0.002068,             0.99151,              0.9802,             0.98896,             0.73409,            0.017723,            0.014222,           0.0013473,           0.0024265,           0.0024265,           0.0024265
                 155,            0.022135,            0.022782,           0.0019066,             0.98775,             0.98148,              0.9888,             0.73505,            0.017908,            0.014317,           0.0013451,            0.002377,            0.002377,            0.002377
                 156,            0.022964,            0.023632,           0.0020476,             0.98879,             0.98189,             0.98874,             0.73248,             0.01779,            0.014459,           0.0013386,           0.0023275,           0.0023275,           0.0023275
